wavenumber_cm-1,transmittance_percent
4000,99.164
3998,99.2004
3996,99.1323
3994,99.059
3992,99.1119
3990,99.048
3988,99.1748
3986,99.329
3984,99.1096
3982,99.0947
3980,99.2284
3978,99.2129
3976,99.1831
3974,99.0592
3972,99.1677
3970,99.255
3968,99.0105
3966,99.1171
3964,98.9441
3962,99.0177
3960,98.9516
3958,99.1444
3956,99.0206
3954,99.2053
3952,99.1915
3950,99.1502
3948,98.8704
3946,99.1076
3944,99.1662
3942,99.1853
3940,98.9878
3938,99.1137
3936,99.0531
3934,99.0729
3932,99.2967
3930,99.0719
3928,99.1642
3926,99.2734
3924,99.0964
3922,99.1521
3920,99.1777
3918,99.171
3916,99.0152
3914,99.1701
3912,99.3227
3910,98.9725
3908,99.2598
3906,99.1694
3904,99.0764
3902,99.3916
3900,99.2411
3898,99.0037
3896,99.1544
3894,99.2124
3892,99.1182
3890,99.2203
3888,99.1278
3886,99.2131
3884,99.3028
3882,99.046
3880,99.1484
3878,99.0651
3876,99.1325
3874,98.9712
3872,99.0404
3870,99.0825
3868,99.2098
3866,99.2352
3864,98.9345
3862,98.9934
3860,99.1616
3858,98.84
3856,99.0183
3854,99.0569
3852,99.2139
3850,99.14
3848,99.012
3846,99.0009
3844,99.0087
3842,99.2149
3840,98.9738
3838,98.9816
3836,99.053
3834,98.9885
3832,98.9715
3830,98.8533
3828,98.9772
3826,98.9166
3824,99.1008
3822,99.0299
3820,98.939
3818,99.0122
3816,98.881
3814,99.0375
3812,98.8997
3810,98.9591
3808,98.7226
3806,98.9072
3804,98.6508
3802,98.5965
3800,98.7911
3798,98.7062
3796,98.8201
3794,99.0556
3792,98.6718
3790,98.6816
3788,98.7657
3786,98.7843
3784,98.6876
3782,98.6672
3780,98.7589
3778,98.7192
3776,98.5145
3774,98.6103
3772,98.6048
3770,98.4542
3768,98.5916
3766,98.4367
3764,98.6349
3762,98.5194
3760,98.4845
3758,98.3798
3756,98.4128
3754,98.163
3752,98.2421
3750,98.396
3748,98.0709
3746,98.4011
3744,98.0626
3742,98.3349
3740,98.1138
3738,98.2794
3736,98.1715
3734,97.9405
3732,98.2433
3730,98.2341
3728,98.0202
3726,97.9614
3724,97.9406
3722,97.8075
3720,98.0202
3718,97.7863
3716,97.8077
3714,97.6801
3712,97.6608
3710,97.5424
3708,97.8056
3706,97.5943
3704,97.686
3702,97.528
3700,97.3985
3698,97.3971
3696,97.3227
3694,97.3436
3692,97.2493
3690,97.2092
3688,97.0295
3686,97.047
3684,97.2902
3682,96.958
3680,96.8579
3678,96.9698
3676,97.042
3674,96.6414
3672,96.7326
3670,96.6225
3668,96.4266
3666,96.6647
3664,96.5112
3662,96.459
3660,96.2954
3658,96.3744
3656,96.1882
3654,96.1677
3652,95.9827
3650,95.8994
3648,96.1342
