wavenumber_cm-1,transmittance_percent
4000,99.1663
3998,98.9921
3996,99.399
3994,99.0756
3992,99.2097
3990,99.2052
3988,99.3517
3986,99.1289
3984,99.3057
3982,99.0969
3980,99.3218
3978,99.0968
3976,99.146
3974,99.4182
3972,99.2299
3970,99.2062
3968,99.4633
3966,99.2388
3964,99.0987
3962,99.286
3960,99.0572
3958,99.3356
3956,99.3461
3954,99.1338
3952,99.1284
3950,99.2261
3948,99.2078
3946,99.09
3944,99.2767
3942,98.9647
3940,99.1589
3938,99.1636
3936,99.1804
3934,99.2513
3932,99.0682
3930,99.2874
3928,99.1963
3926,99.1411
3924,99.0563
3922,99.0795
3920,99.2659
3918,99.1081
3916,99.2327
3914,99.3536
3912,99.3512
3910,99.4157
3908,99.1941
3906,99.1005
3904,99.3544
3902,99.2702
3900,99.3691
3898,99.2367
3896,99.38
3894,99.3392
3892,99.3247
3890,99.3003
3888,99.2887
3886,99.2701
3884,99.2704
3882,99.3632
3880,99.184
3878,99.4549
3876,99.2349
3874,99.367
3872,99.239
3870,99.2213
3868,99.4958
3866,99.2159
3864,99.1008
3862,99.1694
3860,99.2181
3858,99.5158
3856,99.283
3854,99.3713
3852,99.1399
3850,99.3034
3848,99.3426
3846,99.4792
3844,99.1804
3842,99.3372
3840,99.302
3838,99.144
3836,99.2651
3834,99.2367
3832,98.99
3830,99.3417
3828,99.3355
3826,99.2187
3824,99.1115
3822,99.4504
3820,99.3054
3818,99.3961
3816,99.4439
3814,99.2127
3812,99.3732
3810,99.2473
3808,99.2691
3806,99.2668
3804,99.2772
3802,99.4114
3800,99.2928
3798,99.2597
3796,99.2451
3794,99.3193
3792,99.171
3790,99.218
3788,99.2719
3786,99.2101
3784,99.2635
3782,99.2041
3780,99.5174
3778,99.4359
3776,99.3298
3774,99.2687
3772,99.5372
3770,99.3122
3768,99.262
3766,99.3076
3764,99.3067
3762,99.4378
3760,99.2648
3758,99.5173
3756,99.1577
3754,99.3449
3752,99.1393
3750,99.4752
3748,99.215
3746,99.245
3744,99.3601
3742,99.3968
3740,99.1094
3738,99.1978
3736,99.0683
3734,99.2482
3732,99.2153
3730,99.1812
3728,99.1362
3726,99.167
3724,99.1184
3722,99.2659
3720,99.3784
3718,98.9585
3716,99.1697
3714,99.1265
3712,99.2284
3710,99.0474
3708,99.136
3706,99.0203
3704,99.2197
3702,99.1386
3700,99.0975
3698,99.151
3696,99.0661
3694,98.8979
3692,99.144
3690,99.0947
3688,99.0286
3686,99.1517
3684,99.1656
3682,98.8735
3680,98.8954
3678,99.1587
3676,99.1265
3674,98.8501
3672,98.7788
3670,98.8249
3668,98.8219
3666,98.671
3664,98.8434
3662,98.6638
3660,98.649
3658,98.8801
3656,98.6633
3654,98.7107
3652,98.7679
3650,98.7621
3648,98.5952
3646,98.6109
3644,98.4755
3642,98.7521
3640,98.5871
3638,98.3422
3636,98.4394
3634,98.4877
3632,98.4214
3630,98.544
3628,98.4485
3626,98.177
3624,98.1877
3622,97.9998
3620,98.1373
3618,98.0779
3616,98.3351
3614,97.9718
3612,97.6567
3610,97.7736
3608,97.8125
3606,97.5914
3604,97.5796
3602,97.5797
3600,97.6028
3598,97.4784
3596,97.3264
3594,97.4606
3592,97.2326
3590,97.1669
3588,96.989
3586,96.9861
3584,97.0826
3582,96.7324
3580,96.8382
3578,96.8513
3576,96.6363
3574,96.6249
3572,96.3746
3570,96.5765
3568,96.4601
3566,96.2629
3564,95.9288
3562,95.9166
3560,96.0601
3558,96.0473
3556,95.7741
3554,95.783
3552,95.4532
3550,95.3942
3548,95.3059
3546,95.2435
3544,94.8942
3542,95.0735
3540,95.0004
3538,94.583
3536,94.4354
3534,94.5155
3532,94.2684
3530,93.9341
3528,94.1855
3526,93.9752
3524,93.7657
3522,93.9411
3520,93.5671
3518,93.3213
3516,93.2835
3514,93.0047
3512,92.8947
3510,92.8876
3508,92.6284
3506,92.4931
3504,92.5985
3502,92.3511
3500,92.1928
3498,92.0073
3496,91.8483
3494,91.8102
3492,91.4774
3490,91.5458
3488,91.0516
3486,90.977
3484,90.6833
3482,90.6481
3480,90.5917
3478,90.5432
3476,90.1288
3474,90.048
3472,89.8431
3470,89.6364
3468,89.421
3466,89.4098
3464,89.0337
3462,89.0941
3460,88.923
3458,88.6817
3456,88.48
3454,88.2765
3452,88.5092
3450,87.9665
3448,88.1584
3446,87.8884
3444,87.6188
3442,87.371
3440,87.4836
3438,87.4163
3436,86.9484
3434,86.878
3432,86.8952
3430,86.6664
3428,86.7251
3426,86.2778
3424,86.2745
3422,85.9249
3420,86.1944
3418,85.7256
3416,85.4212
3414,85.5467
3412,85.4234
3410,85.5512
3408,85.1648
3406,85.0911
3404,85.0541
3402,85.0667
3400,84.7655
3398,84.7979
3396,84.6389
3394,84.4482
3392,84.4038
3390,84.3122
3388,84.1169
3386,84.2943
3384,83.9081
3382,84.1445
3380,84.0521
3378,83.8641
3376,83.7251
3374,83.7356
3372,83.7696
3370,83.7563
3368,83.66
3366,83.7074
3364,83.4886
3362,83.5551
3360,83.3146
3358,83.5747
3356,83.486
3354,83.4069
3352,83.5896
3350,83.5311
3348,83.1125
3346,83.4621
3344,83.2939
3342,83.6122
3340,83.8029
3338,83.4665
3336,83.5665
3334,83.5606
3332,83.6703
3330,83.7473
3328,83.8705
3326,83.6478
3324,84.0093
3322,83.7675
3320,83.9752
3318,84.1477
3316,84.1649
3314,84.0412
3312,84.1481
3310,84.2591
3308,84.3944
3306,84.6278
3304,84.4284
3302,84.7361
3300,84.8535
3298,84.9509
3296,85.0466
3294,85.2829
3292,85.2724
3290,85.4328
3288,85.5167
3286,85.7862
3284,85.4677
3282,85.9769
3280,85.9217
3278,86.0517
3276,86.1038
3274,86.1329
3272,86.4505
3270,86.5551
3268,86.8402
3266,86.7493
3264,87.2446
3262,87.254
3260,87.3418
3258,87.4379
3256,87.5815
3254,87.6946
3252,87.9202
3250,88.1427
3248,88.278
3246,88.2878
3244,88.5846
3242,88.6689
3240,88.9555
3238,89.3207
3236,89.3329
3234,89.3816
3232,89.3857
3230,89.5724
3228,89.7013
3226,90.1523
3224,90.1346
3222,90.3949
3220,90.4734
3218,90.7192
3216,91.0361
3214,90.9448
3212,91.1445
3210,91.2463
3208,91.6049
3206,91.5328
3204,91.675
3202,91.7984
3200,91.9488
3198,92.3261
3196,92.7284
3194,92.4499
3192,92.8315
3190,92.894
3188,92.8768
3186,93.1195
3184,93.2669
3182,93.3526
3180,93.8061
3178,93.483
3176,93.8931
3174,94.0211
3172,94.044
3170,94.2619
3168,94.4778
3166,94.5176
3164,94.6742
3162,94.8303
3160,94.6245
3158,95.1649
3156,95.3782
3154,95.3378
3152,95.4551
3150,95.2759
3148,95.5401
3146,95.5643
3144,95.6967
3142,95.9867
3140,95.8757
3138,96.056
3136,95.9401
3134,96.2456
3132,96.369
3130,96.3652
3128,96.453
3126,96.8534
3124,96.5676
3122,96.6705
3120,96.7814
3118,97.1023
3116,97.2887
3114,97.1526
3112,97.101
3110,97.2083
3108,97.4581
3106,97.2898
3104,97.6406
3102,97.7016
3100,97.6036
3098,97.7345
3096,97.807
3094,97.9619
3092,97.7058
3090,98.0287
3088,97.8951
3086,97.8995
3084,98.0538
3082,98.0638
3080,98.0173
3078,97.9887
3076,98.11
3074,98.4382
3072,98.5384
3070,98.4178
3068,98.5169
3066,98.3452
3064,98.4283
3062,98.4993
3060,98.3608
3058,98.3942
3056,98.5439
3054,98.5099
3052,98.4332
3050,98.6158
3048,98.5422
3046,98.6963
3044,98.568
3042,98.5222
3040,98.5573
3038,98.4988
3036,98.41
3034,98.4054
3032,98.4992
3030,98.4341
3028,98.4493
3026,98.0208
3024,98.0959
3022,98.002
3020,97.9702
3018,97.7818
3016,97.6494
3014,97.668
3012,97.4463
3010,97.1236
3008,97.2502
3006,97.024
3004,96.638
3002,96.5976
3000,96.1897
2998,96.1827
2996,95.7817
2994,95.4632
2992,95.2591
2990,94.9502
2988,94.7987
2986,94.5271
2984,94.2393
2982,93.8975
2980,93.2564
2978,93.4423
2976,92.9452
2974,92.9515
2972,92.8173
2970,92.4857
2968,92.191
2966,92.0163
2964,91.8389
2962,91.6243
2960,91.4749
2958,91.3093
2956,91.459
2954,91.2325
2952,91.2888
2950,91.1054
2948,91.1267
2946,91.1008
2944,91.1996
2942,91.2844
2940,91.2719
2938,91.2353
2936,91.3087
2934,91.6986
2932,91.5718
2930,91.6828
2928,92.0099
2926,92.0826
2924,92.1333
2922,92.1354
2920,92.5747
2918,92.4414
2916,92.553
2914,92.5497
2912,92.4719
2910,92.5407
2908,92.7961
2906,92.8279
2904,92.7731
2902,92.6702
2900,92.6357
2898,92.7573
2896,92.6017
2894,92.8576
2892,92.857
2890,93.0249
2888,92.7578
2886,92.5507
2884,92.4918
2882,92.1641
2880,92.4984
2878,92.5519
2876,92.7063
2874,92.6959
2872,92.7421
2870,92.764
2868,92.903
2866,93.1017
2864,92.9234
2862,93.1381
2860,93.1861
2858,93.7237
