wavelength_nm,absorbance
200,0.012705
201,0.014955
202,0.021276
203,0.019895
204,0.017525
205,0.026676
206,0.032288
207,0.03775
208,0.043973
209,0.055407
210,0.051771
211,0.066955
212,0.082233
213,0.07644
214,0.09766
215,0.105471
216,0.119203
217,0.129616
218,0.147315
219,0.172231
220,0.17038
221,0.185731
222,0.200012
223,0.23108
224,0.234423
225,0.251538
226,0.26412
227,0.275551
228,0.293281
229,0.321155
230,0.328697
231,0.329552
232,0.349787
233,0.353719
234,0.35993
235,0.38536
236,0.396046
237,0.404638
238,0.404973
239,0.41403
240,0.425323
241,0.42875
242,0.42871
243,0.425049
244,0.435708
245,0.440882
246,0.427426
247,0.43431
248,0.428388
249,0.42491
250,0.418525
251,0.401953
252,0.387672
253,0.383041
254,0.379385
255,0.359952
256,0.346832
257,0.328265
258,0.334529
259,0.317043
260,0.304465
261,0.2937
262,0.280448
263,0.265707
264,0.256672
265,0.246865
266,0.255845
267,0.238828
268,0.228752
269,0.230392
270,0.220714
271,0.233658
272,0.223279
273,0.232032
274,0.239116
275,0.241084
276,0.246595
277,0.254653
278,0.264222
279,0.272781
280,0.286127
281,0.310337
282,0.317174
283,0.330057
284,0.349123
285,0.376434
286,0.393967
287,0.414111
288,0.431427
289,0.458295
290,0.475033
291,0.500885
292,0.531744
293,0.555998
294,0.571222
295,0.597133
296,0.627535
297,0.661317
298,0.667007
299,0.703265
300,0.718623
301,0.746033
302,0.770151
303,0.791606
304,0.811684
305,0.834021
306,0.849277
307,0.861035
308,0.888019
309,0.901301
310,0.913441
311,0.910624
312,0.928286
313,0.936239
314,0.931156
315,0.938627
316,0.937908
317,0.946239
318,0.942661
319,0.917708
320,0.931958
321,0.904322
322,0.903114
323,0.89022
324,0.865489
325,0.857729
326,0.837684
327,0.823267
328,0.80271
329,0.788222
330,0.762068
331,0.740113
332,0.725852
333,0.702019
334,0.681732
335,0.653398
336,0.630745
337,0.613072
338,0.593141
339,0.58162
340,0.564427
341,0.541106
342,0.533146
343,0.517482
344,0.497282
345,0.478548
346,0.479354
347,0.460001
348,0.451549
349,0.440884
350,0.431016
351,0.422231
352,0.428868
353,0.41805
354,0.43626
355,0.413245
356,0.412359
357,0.422764
358,0.430159
359,0.425285
360,0.431697
361,0.423379
362,0.434741
363,0.438448
364,0.440455
365,0.457961
366,0.452704
367,0.465171
368,0.477186
369,0.483677
370,0.498361
371,0.506117
372,0.517467
373,0.524882
374,0.534977
375,0.536771
376,0.545998
377,0.554415
378,0.559425
379,0.563149
380,0.569638
381,0.57274
382,0.58447
383,0.586356
384,0.587384
385,0.590834
386,0.59075
387,0.604531
388,0.601278
389,0.597135
390,0.606158
391,0.598379
392,0.592681
393,0.603644
394,0.592795
395,0.590205
396,0.58865
397,0.589889
398,0.578699
399,0.566371
400,0.569138
401,0.556632
402,0.561597
403,0.543441
404,0.522954
405,0.527572
406,0.52642
407,0.51449
408,0.505488
409,0.479682
410,0.478914
411,0.458972
412,0.452466
413,0.432805
414,0.42424
415,0.412041
416,0.408255
417,0.395537
418,0.380525
419,0.359661
420,0.352954
421,0.338495
422,0.334986
423,0.324659
424,0.312186
425,0.290917
426,0.268914
427,0.262783
428,0.268618
429,0.248129
430,0.235701
431,0.238077
432,0.226045
433,0.209727
434,0.198597
435,0.190311
436,0.183385
437,0.182145
438,0.167705
439,0.161434
440,0.156222
441,0.136583
442,0.139857
443,0.127682
444,0.109604
445,0.105661
446,0.105843
447,0.108647
448,0.101313
449,0.096843
450,0.101632
451,0.080255
452,0.082777
453,0.080723
454,0.07163
455,0.072332
456,0.060568
457,0.073595
458,0.059783
459,0.071625
460,0.058331
461,0.061767
462,0.054014
463,0.052267
464,0.047614
465,0.049758
466,0.049359
467,0.042188
468,0.044468
469,0.040792
470,0.055211
471,0.04164
472,0.049487
473,0.039527
474,0.041283
475,0.032324
476,0.036444
477,0.03948
478,0.04638
479,0.038816
480,0.04469
481,0.040517
482,0.045556
483,0.036469
484,0.04934
485,0.034025
486,0.032494
487,0.030132
488,0.048918
489,0.04095
490,0.034905
491,0.043387
492,0.040524
493,0.047431
494,0.028956
495,0.035918
496,0.035053
497,0.027237
498,0.043523
499,0.036687
500,0.042267
